Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR
ORF9A-A549-Nt	BirA_R118G_H0QFJ5	BirA_R118G_H0QFJ5	964	964	964.00	1	268|927|0	0.00	0.00	0.00	0.00	0.00	-inf	1.61	0.54
ORF9A-A549-Nt	NP_000009.1	ACADVL	2	2	2.00	1	0|0|0	0.97	0.97	0.97	0.97	0.97	3.59	20.00	0.00
ORF9A-A549-Nt	NP_000043.3	ATP7A	2	2	2.00	1	0|0|0	0.97	0.97	0.97	0.97	0.97	3.59	20.00	0.00
ORF9A-A549-Nt	NP_000048.1	BLM	4	4	4.00	1	9|5|0	0.00	0.00	0.00	0.00	0.00	-19.84	0.57	0.54
ORF9A-A549-Nt	NP_000050.2	BRCA2	10	10	10.00	1	15|6|0	0.00	0.00	0.00	0.00	0.00	-22.44	0.95	0.41
ORF9A-A549-Nt	NP_000099.2	DLD	2	2	2.00	1	0|0|0	0.97	0.97	0.97	0.97	0.97	3.64	20.00	0.00
ORF9A-A549-Nt	NP_000103.2	SLC26A2	4	4	4.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	7.18	40.00	0.00
ORF9A-A549-Nt	NP_000108.1	EMD	13	13	13.00	1	7|13|0	0.00	0.00	0.00	0.00	0.00	-16.77	1.30	0.37
ORF9A-A549-Nt	NP_000114.2	ERCC5	5	5	5.00	1	9|4|0	0.00	0.00	0.00	0.00	0.00	-16.02	0.77	0.36
ORF9A-A549-Nt	NP_000117.1	ETFA	14	14	14.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	22.89	140.00	0.00
ORF9A-A549-Nt	NP_000134.2	FH	11	11	11.00	1	0|3|0	0.97	0.97	0.97	0.97	0.97	3.51	7.33	0.01
ORF9A-A549-Nt	NP_000149.3	GBE1	12	12	12.00	1	4|8|0	0.01	0.01	0.01	0.01	0.01	-4.69	2.00	0.16
ORF9A-A549-Nt	NP_000170.1	MSH6	8	8	8.00	1	9|5|0	0.00	0.00	0.00	0.00	0.00	-13.61	1.14	0.33
ORF9A-A549-Nt	NP_000173.2	HADHA	5	5	5.00	1	0|2|0	0.86	0.86	0.86	0.86	0.86	1.80	5.00	0.01
ORF9A-A549-Nt	NP_000245.2	MTR	12	12	12.00	1	12|9|0	0.00	0.00	0.00	0.00	0.00	-20.10	1.14	0.39
