Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR
NSP2-A549-Nt	BirA_R118G_H0QFJ5	BirA_R118G_H0QFJ5	263	263	263.00	1	268|927|0	0.00	0.00	0.00	0.00	0.00	-inf	0.44	0.54
NSP2-A549-Nt	NP_000025.1	ALDOA	2	2	2.00	1	0|0|0	0.97	0.97	0.97	0.97	0.97	3.59	20.00	0.00
NSP2-A549-Nt	NP_000108.1	EMD	8	8	8.00	1	7|13|0	0.00	0.00	0.00	0.00	0.00	-24.03	0.80	0.42
NSP2-A549-Nt	NP_000149.3	GBE1	5	5	5.00	1	4|8|0	0.00	0.00	0.00	0.00	0.00	-14.35	0.83	0.34
NSP2-A549-Nt	NP_000166.2	GPI	2	2	2.00	1	3|4|0	0.00	0.00	0.00	0.00	0.00	-10.08	0.57	0.54
NSP2-A549-Nt	NP_000173.2	HADHA	3	3	3.00	1	0|2|0	0.57	0.57	0.57	0.57	0.57	0.27	3.00	0.02
NSP2-A549-Nt	NP_000245.2	MTR	10	10	10.00	1	12|9|0	0.00	0.00	0.00	0.00	0.00	-23.01	0.95	0.41
NSP2-A549-Nt	NP_000310.2	PEX5	13	13	13.00	1	5|5|0	0.50	0.50	0.49	0.49	0.50	-0.03	2.60	0.03
NSP2-A549-Nt	NP_000393.4	G6PD	104	104	104.00	1	96|141|0	0.00	0.00	0.00	0.00	0.00	-267.10	0.88	0.54
NSP2-A549-Nt	NP_000436.2	PLEC	34	34	34.00	1	49|25|0	0.00	0.00	0.00	0.00	0.00	-80.71	0.92	0.52
NSP2-A549-Nt	NP_000628.2	GSR	5	5	5.00	1	3|4|0	0.00	0.00	0.00	0.00	0.00	-5.59	1.43	0.18
NSP2-A549-Nt	NP_000691.1	ANXA1	68	68	68.00	1	67|96|0	0.00	0.00	0.00	0.00	0.00	-189.38	0.83	0.53
NSP2-A549-Nt	NP_000867.2	IGF2R	4	4	4.00	1	0|2|0	0.76	0.76	0.75	0.75	0.76	1.12	4.00	0.01
NSP2-A549-Nt	NP_000894.1	NQO1	5	5	5.00	1	5|6|0	0.00	0.00	0.00	0.00	0.00	-12.64	0.91	0.32
NSP2-A549-Nt	NP_000911.2	PC	318	318	318.00	1	225|226|1091	0.00	0.00	0.00	0.00	0.00	-inf	0.48	0.54
NSP2-A549-Nt	NP_000928.1	POLR2A	5	5	5.00	1	10|6|0	0.00	0.00	0.00	0.00	0.00	-21.81	0.62	0.54
NSP2-A549-Nt	NP_000938.2	PRIM2	3	3	3.00	1	4|8|0	0.00	0.00	0.00	0.00	0.00	-17.79	0.50	0.54
NSP2-A549-Nt	NP_000959.2	RPL4	5	5	5.00	1	5|4|0	0.00	0.00	0.00	0.00	0.00	-9.04	1.11	0.26
