Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR
NSP8-A549-Nt	BirA_R118G_H0QFJ5	BirA_R118G_H0QFJ5	698|621	1319	659.50	2	13|9|861|877	0.00	0.00	0.00	0.00	0.00	-inf	0.76	0.55
NSP8-A549-Nt	P04075	ALDOA	5|4	9	4.50	2	3|0|0|0	0.59	0.68	0.61	0.70	0.61	0.07	3.00	0.02
NSP8-A549-Nt	P10275	AR	2|3	5	2.50	2	0|0|3|5	0.00	0.00	0.00	0.00	0.00	-11.89	0.62	0.33
NSP8-A549-Nt	P51587	BRCA2	67|62	129	64.50	2	0|0|37|31	0.00	0.00	0.00	0.00	0.00	-32.08	1.90	0.43
NSP8-A549-Nt	P09622	DLD	5|4	9	4.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	7.32	45.00	0.00
NSP8-A549-Nt	P50402	EMD	6|6	12	6.00	2	0|0|6|7	0.00	0.00	0.00	0.00	0.00	-14.55	0.92	0.37
NSP8-A549-Nt	P13804	ETFA	7|5	12	6.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	8.81	60.00	0.00
NSP8-A549-Nt	Q04446	GBE1	25|25	50	25.00	2	0|0|6|4	1.00	1.00	1.00	1.00	1.00	13.50	5.00	0.00
NSP8-A549-Nt	P52701	MSH6	13|10	23	11.50	2	0|0|6|6	0.02	0.04	0.02	0.04	0.02	-7.21	1.92	0.24
NSP8-A549-Nt	P40939	HADHA	3|0	3	1.50	2	0|0|0|0	0.50	1.00	0.50	1.00	0.50	-0.92	15.00	0.07
NSP8-A549-Nt	P43246	MSH2	3|5	8	4.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	5.33	40.00	0.00
NSP8-A549-Nt	Q99707	MTR	43|36	79	39.50	2	0|0|10|9	1.00	1.00	1.00	1.00	1.00	13.61	4.16	0.00
